"Latitude","Longitude","Pollutant Standard","Year","Units of Measure","Arithmetic Mean","State Name","County Name"
32.677833,-115.390544,"Ozone 8-hour 2015",2005,"Parts per million",0.041417,"California","Imperial"
32.97833,-115.53917,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",8.938462,"California","Imperial"
32.79222,-115.56306,"CO 1-hour 1971",2005,"Parts per million",0.071951,"California","Imperial"
32.79222,-115.56306,"NO2 1-hour 2010",2005,"Parts per billion",25.474432,"California","Imperial"
32.79222,-115.56306,"Ozone 8-hour 2015",2005,"Parts per million",0.050255,"California","Imperial"
32.79222,-115.56306,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",9.448571,"California","Imperial"
33.0325,-115.62361,"Ozone 8-hour 2015",2005,"Parts per million",0.051276,"California","Imperial"
33.213611,-115.54528,"Ozone 8-hour 2015",2005,"Parts per million",0.044179,"California","Imperial"
35.345607,-118.851825,"NO2 1-hour 2010",2005,"Parts per billion",26.868715,"California","Kern"
35.345607,-118.851825,"Ozone 8-hour 2015",2005,"Parts per million",0.048752,"California","Kern"
35.051454,-119.40262,"Ozone 8-hour 2015",2005,"Parts per million",0.052784,"California","Kern"
35.385574,-119.015009,"CO 1-hour 1971",2005,"Parts per million",0.587758,"California","Kern"
35.385574,-119.015009,"NO2 1-hour 2010",2005,"Parts per billion",39.641873,"California","Kern"
35.385574,-119.015009,"Ozone 8-hour 2015",2005,"Parts per million",0.043109,"California","Kern"
35.385574,-119.015009,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",21.614607,"California","Kern"
35.050551,-118.147294,"NO2 1-hour 2010",2005,"Parts per billion",19.407407,"California","Kern"
35.050551,-118.147294,"Ozone 8-hour 2015",2005,"Parts per million",0.050144,"California","Kern"
35.050551,-118.147294,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",5.785526,"California","Kern"
35.356615,-119.062613,"CO 1-hour 1971",2005,"Parts per million",0.467983,"California","Kern"
35.356615,-119.062613,"NO2 1-hour 2010",2005,"Parts per billion",37.294766,"California","Kern"
35.356615,-119.062613,"Ozone 8-hour 2015",2005,"Parts per million",0.052317,"California","Kern"
35.356615,-119.062613,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",17.605,"California","Kern"
35.356615,-119.062613,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",18.477358,"California","Kern"
35.62109,-117.67296,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",6.660759,"California","Kern"
35.324636,-118.997627,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",19.986792,"California","Kern"
35.438035,-119.016787,"NO2 1-hour 2010",2005,"Parts per billion",24.903047,"California","Kern"
35.438035,-119.016787,"Ozone 8-hour 2015",2005,"Parts per million",0.05225,"California","Kern"
35.208295,-118.785374,"NO2 1-hour 2010",2005,"Parts per billion",19.847887,"California","Kern"
35.208295,-118.785374,"Ozone 8-hour 2015",2005,"Parts per million",0.057782,"California","Kern"
35.503587,-119.272606,"NO2 1-hour 2010",2005,"Parts per billion",30.708333,"California","Kern"
35.503587,-119.272606,"Ozone 8-hour 2015",2005,"Parts per million",0.050325,"California","Kern"
36.102244,-119.56565,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",20.137931,"California","Kings"
36.31567,-119.643447,"NO2 1-hour 2010",2005,"Parts per billion",25.00554,"California","Kings"
36.31567,-119.643447,"Ozone 8-hour 2015",2005,"Parts per million",0.044702,"California","Kings"
39.0327,-122.92229,"Ozone 8-hour 2015",2005,"Parts per million",0.037103,"California","Lake"
39.0327,-122.92229,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",4.828333,"California","Lake"
34.1365,-117.92391,"CO 1-hour 1971",2005,"Parts per million",0.431897,"California","Los Angeles"
34.1365,-117.92391,"NO2 1-hour 2010",2005,"Parts per billion",40.820937,"California","Los Angeles"
34.1365,-117.92391,"Ozone 8-hour 2015",2005,"Parts per million",0.038614,"California","Los Angeles"
34.1365,-117.92391,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",17.057534,"California","Los Angeles"
34.14435,-117.85036,"NO2 1-hour 2010",2005,"Parts per billion",36.856338,"California","Los Angeles"
34.14435,-117.85036,"Ozone 8-hour 2015",2005,"Parts per million",0.043034,"California","Los Angeles"
34.05111,-118.45636,"CO 1-hour 1971",2005,"Parts per million",0.396922,"California","Los Angeles"
34.05111,-118.45636,"NO2 1-hour 2010",2005,"Parts per billion",32.812155,"California","Los Angeles"
34.05111,-118.45636,"Ozone 8-hour 2015",2005,"Parts per million",0.043067,"California","Los Angeles"
34.17605,-118.31712,"CO 1-hour 1971",2005,"Parts per million",0.762544,"California","Los Angeles"
34.17605,-118.31712,"SO2 1-hour 2010",2005,"Parts per billion",3.013966,"California","Los Angeles"
34.17605,-118.31712,"NO2 1-hour 2010",2005,"Parts per billion",44.785714,"California","Los Angeles"
34.17605,-118.31712,"Ozone 8-hour 2015",2005,"Parts per million",0.038562,"California","Los Angeles"
34.17605,-118.31712,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",17.703774,"California","Los Angeles"
34.06659,-118.22688,"CO 1-hour 1971",2005,"Parts per million",0.660545,"California","Los Angeles"
34.06659,-118.22688,"SO2 1-hour 2010",2005,"Parts per billion",3.048433,"California","Los Angeles"
34.06659,-118.22688,"NO2 1-hour 2010",2005,"Parts per billion",44.754875,"California","Los Angeles"
34.06659,-118.22688,"Ozone 8-hour 2015",2005,"Parts per million",0.034689,"California","Los Angeles"
34.06659,-118.22688,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",17.794798,"California","Los Angeles"
34.06659,-118.22688,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",19.122807,"California","Los Angeles"
34.19925,-118.53276,"CO 1-hour 1971",2005,"Parts per million",0.641407,"California","Los Angeles"
34.19925,-118.53276,"NO2 1-hour 2010",2005,"Parts per billion",37.030641,"California","Los Angeles"
34.19925,-118.53276,"Ozone 8-hour 2015",2005,"Parts per million",0.048118,"California","Los Angeles"
34.19925,-118.53276,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",13.751923,"California","Los Angeles"
33.92899,-118.21071,"CO 1-hour 1971",2005,"Parts per million",1.079378,"California","Los Angeles"
33.92899,-118.21071,"NO2 1-hour 2010",2005,"Parts per billion",45.081006,"California","Los Angeles"
33.92899,-118.21071,"Ozone 8-hour 2015",2005,"Parts per million",0.031923,"California","Los Angeles"
33.92899,-118.21071,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",17.64386,"California","Los Angeles"
34.01407,-118.06056,"CO 1-hour 1971",2005,"Parts per million",0.653231,"California","Los Angeles"
34.01407,-118.06056,"NO2 1-hour 2010",2005,"Parts per billion",45.66087,"California","Los Angeles"
34.01407,-118.06056,"Ozone 8-hour 2015",2005,"Parts per million",0.027852,"California","Los Angeles"
34.01407,-118.06056,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",15.934043,"California","Los Angeles"
34.01029,-118.0685,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",22.313793,"California","Los Angeles"
34.06703,-117.7514,"CO 1-hour 1971",2005,"Parts per million",0.754575,"California","Los Angeles"
34.06703,-117.7514,"NO2 1-hour 2010",2005,"Parts per billion",47.263014,"California","Los Angeles"
34.06703,-117.7514,"Ozone 8-hour 2015",2005,"Parts per million",0.041285,"California","Los Angeles"
34.1326,-118.1272,"CO 1-hour 1971",2005,"Parts per million",0.735509,"California","Los Angeles"
34.1326,-118.1272,"NO2 1-hour 2010",2005,"Parts per billion",39.322129,"California","Los Angeles"
34.1326,-118.1272,"Ozone 8-hour 2015",2005,"Parts per million",0.039669,"California","Los Angeles"
34.1326,-118.1272,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",15.110619,"California","Los Angeles"
33.82376,-118.18921,"CO 1-hour 1971",2005,"Parts per million",0.735168,"California","Los Angeles"
33.82376,-118.18921,"SO2 1-hour 2010",2005,"Parts per billion",7.323204,"California","Los Angeles"
33.82376,-118.18921,"NO2 1-hour 2010",2005,"Parts per billion",38.815427,"California","Los Angeles"
33.82376,-118.18921,"Ozone 8-hour 2015",2005,"Parts per million",0.03105,"California","Los Angeles"
33.82376,-118.18921,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",15.585185,"California","Los Angeles"
33.79236,-118.17533,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",14.630814,"California","Los Angeles"
33.95507,-118.43049,"CO 1-hour 1971",2005,"Parts per million",0.203431,"California","Los Angeles"
33.95507,-118.43049,"SO2 1-hour 2010",2005,"Parts per billion",8.315934,"California","Los Angeles"
33.95507,-118.43049,"NO2 1-hour 2010",2005,"Parts per billion",30.758242,"California","Los Angeles"
33.95507,-118.43049,"Ozone 8-hour 2015",2005,"Parts per million",0.042749,"California","Los Angeles"
34.38344,-118.5284,"CO 1-hour 1971",2005,"Parts per million",0.324648,"California","Los Angeles"
34.38344,-118.5284,"NO2 1-hour 2010",2005,"Parts per billion",35.236311,"California","Los Angeles"
34.38344,-118.5284,"Ozone 8-hour 2015",2005,"Parts per million",0.053193,"California","Los Angeles"
34.669739,-118.130511,"CO 1-hour 1971",2005,"Parts per million",0.227913,"California","Los Angeles"
34.669739,-118.130511,"NO2 1-hour 2010",2005,"Parts per billion",32.934066,"California","Los Angeles"
34.669739,-118.130511,"Ozone 8-hour 2015",2005,"Parts per million",0.051472,"California","Los Angeles"
34.669739,-118.130511,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",8.815534,"California","Los Angeles"
39.15047,-123.20655,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",6.203279,"California","Mendocino"
39.14566,-123.20298,"CO 1-hour 1971",2005,"Parts per million",0.44203,"California","Mendocino"
39.14566,-123.20298,"NO2 1-hour 2010",2005,"Parts per billion",15.913165,"California","Mendocino"
39.14566,-123.20298,"Ozone 8-hour 2015",2005,"Parts per million",0.032113,"California","Mendocino"
39.402942,-123.350288,"CO 1-hour 1971",2005,"Parts per million",0.42149,"California","Mendocino"
39.402942,-123.350288,"NO2 1-hour 2010",2005,"Parts per billion",13.501385,"California","Mendocino"
39.402942,-123.350288,"Ozone 8-hour 2015",2005,"Parts per million",0.026039,"California","Mendocino"
37.281853,-120.433671,"NO2 1-hour 2010",2005,"Parts per billion",22.545455,"California","Merced"
37.281853,-120.433671,"Ozone 8-hour 2015",2005,"Parts per million",0.042468,"California","Merced"
37.30832,-120.480456,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",16.008889,"California","Merced"
36.48187,-121.73333,"Ozone 8-hour 2015",2005,"Parts per million",0.034721,"California","Monterey"
36.227466,-121.116584,"Ozone 8-hour 2015",2005,"Parts per million",0.035194,"California","Monterey"
36.694261,-121.623271,"CO 1-hour 1971",2005,"Parts per million",0.319111,"California","Monterey"
36.694261,-121.623271,"NO2 1-hour 2010",2005,"Parts per billion",17.718663,"California","Monterey"
36.694261,-121.623271,"Ozone 8-hour 2015",2005,"Parts per million",0.034725,"California","Monterey"
36.694261,-121.623271,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",6.790323,"California","Monterey"
39.233477,-121.055608,"Ozone 8-hour 2015",2005,"Parts per million",0.051589,"California","Nevada"
39.233477,-121.055608,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",4.811321,"California","Nevada"
39.316555,-120.845475,"Ozone 8-hour 2015",2005,"Parts per million",0.055121,"California","Nevada"
39.32783,-120.184592,"Ozone 8-hour 2015",2005,"Parts per million",0.046524,"California","Nevada"
39.32783,-120.184592,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",6.769912,"California","Nevada"
39.32783,-120.184592,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",6.875,"California","Nevada"
33.83062,-117.93845,"CO 1-hour 1971",2005,"Parts per million",0.445504,"California","Orange"
33.83062,-117.93845,"NO2 1-hour 2010",2005,"Parts per billion",34.479224,"California","Orange"
33.83062,-117.93845,"Ozone 8-hour 2015",2005,"Parts per million",0.045326,"California","Orange"
33.83062,-117.93845,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",14.672372,"California","Orange"
33.67464,-117.92568,"CO 1-hour 1971",2005,"Parts per million",0.303683,"California","Orange"
33.67464,-117.92568,"SO2 1-hour 2010",2005,"Parts per billion",2.891061,"California","Orange"
33.67464,-117.92568,"NO2 1-hour 2010",2005,"Parts per billion",26.334328,"California","Orange"
33.67464,-117.92568,"Ozone 8-hour 2015",2005,"Parts per million",0.041844,"California","Orange"
33.63003,-117.67593,"CO 1-hour 1971",2005,"Parts per million",0.266957,"California","Orange"
33.63003,-117.67593,"Ozone 8-hour 2015",2005,"Parts per million",0.043749,"California","Orange"
33.63003,-117.67593,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",10.60614,"California","Orange"
33.92513,-117.95264,"CO 1-hour 1971",2005,"Parts per million",0.634321,"California","Orange"
33.92513,-117.95264,"NO2 1-hour 2010",2005,"Parts per billion",38.22905,"California","Orange"
33.92513,-117.95264,"Ozone 8-hour 2015",2005,"Parts per million",0.032165,"California","Orange"
38.93767,-121.104921,"Ozone 8-hour 2015",2005,"Parts per million",0.045891,"California","Placer"
39.100174,-120.953832,"Ozone 8-hour 2015",2005,"Parts per million",0.046035,"California","Placer"
38.74643,-121.26498,"CO 1-hour 1971",2005,"Parts per million",0.309513,"California","Placer"
38.74643,-121.26498,"NO2 1-hour 2010",2005,"Parts per billion",28.469444,"California","Placer"
38.74643,-121.26498,"Ozone 8-hour 2015",2005,"Parts per million",0.039647,"California","Placer"
38.74643,-121.26498,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",10.067797,"California","Placer"
33.7411,-115.8206,"Ozone 8-hour 2015",2005,"Parts per million",0.041333,"California","Riverside"
33.92086,-116.85841,"NO2 1-hour 2010",2005,"Parts per billion",35.656566,"California","Riverside"
33.92086,-116.85841,"Ozone 8-hour 2015",2005,"Parts per million",0.058003,"California","Riverside"
33.94603,-117.40063,"CO 1-hour 1971",2005,"Parts per million",0.74768,"California","Riverside"
33.94603,-117.40063,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",17.896364,"California","Riverside"
33.70853,-116.21537,"Ozone 8-hour 2015",2005,"Parts per million",0.049613,"California","Riverside"
33.70853,-116.21537,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",10.339583,"California","Riverside"
33.70853,-116.21537,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",10.529412,"California","Riverside"
33.85275,-116.54101,"CO 1-hour 1971",2005,"Parts per million",0.228363,"California","Riverside"
33.85275,-116.54101,"NO2 1-hour 2010",2005,"Parts per billion",25.245714,"California","Riverside"
33.85275,-116.54101,"Ozone 8-hour 2015",2005,"Parts per million",0.054678,"California","Riverside"
33.85275,-116.54101,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",8.45303,"California","Riverside"
33.78942,-117.22764,"Ozone 8-hour 2015",2005,"Parts per million",0.030679,"California","Riverside"
33.99958,-117.41601,"CO 1-hour 1971",2005,"Parts per million",0.52601,"California","Riverside"
33.99958,-117.41601,"SO2 1-hour 2010",2005,"Parts per billion",5.30854,"California","Riverside"
33.99958,-117.41601,"NO2 1-hour 2010",2005,"Parts per billion",37.132597,"California","Riverside"
33.99958,-117.41601,"Ozone 8-hour 2015",2005,"Parts per million",0.051525,"California","Riverside"
33.99958,-117.41601,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",21.065361,"California","Riverside"
33.99958,-117.41601,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",19.570175,"California","Riverside"
33.67649,-117.33098,"CO 1-hour 1971",2005,"Parts per million",0.269947,"California","Riverside"
33.67649,-117.33098,"NO2 1-hour 2010",2005,"Parts per billion",28.977337,"California","Riverside"
33.67649,-117.33098,"Ozone 8-hour 2015",2005,"Parts per million",0.051234,"California","Riverside"
33.61235,-114.60209,"Ozone 8-hour 2015",2005,"Parts per million",0.03938,"California","Riverside"
38.71209,-121.38109,"CO 1-hour 1971",2005,"Parts per million",0.457804,"California","Sacramento"
38.71209,-121.38109,"SO2 1-hour 2010",2005,"Parts per billion",1.726761,"California","Sacramento"
38.71209,-121.38109,"NO2 1-hour 2010",2005,"Parts per billion",24.63754,"California","Sacramento"
38.71209,-121.38109,"Ozone 8-hour 2015",2005,"Parts per million",0.034874,"California","Sacramento"
38.613779,-121.368014,"CO 1-hour 1971",2005,"Parts per million",0.548223,"California","Sacramento"
38.613779,-121.368014,"SO2 1-hour 2010",2005,"Parts per billion",2.027855,"California","Sacramento"
38.613779,-121.368014,"NO2 1-hour 2010",2005,"Parts per billion",22.919668,"California","Sacramento"
38.613779,-121.368014,"Ozone 8-hour 2015",2005,"Parts per million",0.041607,"California","Sacramento"
38.613779,-121.368014,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",13.691983,"California","Sacramento"
38.613779,-121.368014,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",11.472727,"California","Sacramento"
38.609905,-121.381063,"CO 1-hour 1971",2005,"Parts per million",0.780834,"California","Sacramento"
38.56844,-121.49311,"CO 1-hour 1971",2005,"Parts per million",0.425804,"California","Sacramento"
38.56844,-121.49311,"NO2 1-hour 2010",2005,"Parts per billion",28.698895,"California","Sacramento"
38.56844,-121.49311,"Ozone 8-hour 2015",2005,"Parts per million",0.033381,"California","Sacramento"
38.56844,-121.49311,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",10.976119,"California","Sacramento"
38.302591,-121.420838,"NO2 1-hour 2010",2005,"Parts per billion",16.850144,"California","Sacramento"
38.302591,-121.420838,"Ozone 8-hour 2015",2005,"Parts per million",0.042163,"California","Sacramento"
38.683304,-121.164457,"NO2 1-hour 2010",2005,"Parts per billion",16.120344,"California","Sacramento"
38.683304,-121.164457,"Ozone 8-hour 2015",2005,"Parts per million",0.044452,"California","Sacramento"
38.636848,-121.5144,"CO 1-hour 1971",2005,"Parts per million",0.403839,"California","Sacramento"
38.636848,-121.5144,"NO2 1-hour 2010",2005,"Parts per billion",29.081921,"California","Sacramento"
38.636848,-121.5144,"Ozone 8-hour 2015",2005,"Parts per million",0.037521,"California","Sacramento"
38.556326,-121.458499,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",12.100877,"California","Sacramento"
38.494475,-121.211131,"Ozone 8-hour 2015",2005,"Parts per million",0.054269,"California","Sacramento"
34.89398,-117.024804,"CO 1-hour 1971",2005,"Parts per million",0.187565,"California","San Bernardino"
34.89398,-117.024804,"NO2 1-hour 2010",2005,"Parts per billion",48.161473,"California","San Bernardino"
34.89398,-117.024804,"Ozone 8-hour 2015",2005,"Parts per million",0.046821,"California","San Bernardino"
34.2431,-117.27235,"Ozone 8-hour 2015",2005,"Parts per million",0.060883,"California","San Bernardino"
34.4251,-117.5898,"Ozone 8-hour 2015",2005,"Parts per million",0.054949,"California","San Bernardino"
34.141946,-116.055836,"Ozone 8-hour 2015",2005,"Parts per million",0.05183,"California","San Bernardino"
34.037234,-117.690889,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",18.912727,"California","San Bernardino"
34.510961,-117.32554,"CO 1-hour 1971",2005,"Parts per million",0.318567,"California","San Bernardino"
34.510961,-117.32554,"SO2 1-hour 2010",2005,"Parts per billion",2.518006,"California","San Bernardino"
34.510961,-117.32554,"NO2 1-hour 2010",2005,"Parts per billion",39.294444,"California","San Bernardino"
34.510961,-117.32554,"Ozone 8-hour 2015",2005,"Parts per million",0.049545,"California","San Bernardino"
34.510961,-117.32554,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",9.444444,"California","San Bernardino"
34.510961,-117.32554,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",10.03125,"California","San Bernardino"
34.10374,-117.62914,"CO 1-hour 1971",2005,"Parts per million",0.640546,"California","San Bernardino"
34.10374,-117.62914,"NO2 1-hour 2010",2005,"Parts per billion",47.936288,"California","San Bernardino"
34.10374,-117.62914,"Ozone 8-hour 2015",2005,"Parts per million",0.042906,"California","San Bernardino"
35.77417,-117.3714,"SO2 1-hour 2010",2005,"Parts per billion",3.025714,"California","San Bernardino"
35.77417,-117.3714,"NO2 1-hour 2010",2005,"Parts per billion",17.265625,"California","San Bernardino"
35.77417,-117.3714,"Ozone 8-hour 2015",2005,"Parts per million",0.047683,"California","San Bernardino"
34.10002,-117.49201,"SO2 1-hour 2010",2005,"Parts per billion",3.906336,"California","San Bernardino"
34.10002,-117.49201,"NO2 1-hour 2010",2005,"Parts per billion",50.879888,"California","San Bernardino"
34.10002,-117.49201,"Ozone 8-hour 2015",2005,"Parts per million",0.04656,"California","San Bernardino"
34.10002,-117.49201,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",18.752294,"California","San Bernardino"
34.41639,-117.2858,"Ozone 8-hour 2015",2005,"Parts per million",0.054273,"California","San Bernardino"
34.05977,-117.14731,"Ozone 8-hour 2015",2005,"Parts per million",0.046552,"California","San Bernardino"
